metro_fips,metro_name,county_fips,county_name,county_population,metro_population,rank
39940,"Rexburg, ID",16043,"Fremont County, Idaho",12889,69447,579
39940,"Rexburg, ID",30057,"Madison County, Montana",7902,69447,579
39940,"Rexburg, ID",30001,"Beaverhead County, Montana",9360,69447,579
29300,"LaGrange, GA",13285,"Troup County, Georgia",69433,69433,580
38380,"Plainview, TX",48189,"Hale County, Texas",34527,69280,581
38380,"Plainview, TX",48153,"Floyd County, Texas",5953,69280,581
38380,"Plainview, TX",48437,"Swisher County, Texas",7541,69280,581
38380,"Plainview, TX",48279,"Lamb County, Texas",13368,69280,581
38380,"Plainview, TX",48069,"Castro County, Texas",7891,69280,581
36900,"Ottumwa, IA",19007,"Appanoose County, Iowa",12547,68893,582
36900,"Ottumwa, IA",19177,"Van Buren County, Iowa",7308,68893,582
36900,"Ottumwa, IA",19051,"Davis County, Iowa",8834,68893,582
36900,"Ottumwa, IA",19179,"Wapello County, Iowa",35321,68893,582
36900,"Ottumwa, IA",29199,"Scotland County, Missouri",4883,68893,582
33980,"Morehead City, NC",37031,"Carteret County, North Carolina",68699,68699,583
37020,"Owosso, MI",26155,"Shiawassee County, Michigan",68617,68617,584
24620,"Greeneville, TN",47059,"Greene County, Tennessee",68520,68520,585
29380,"Lake City, FL",12023,"Columbia County, Florida",68484,68484,586
21420,"Enid, OK",40003,"Alfalfa County, Oklahoma",5877,68298,587
21420,"Enid, OK",40047,"Garfield County, Oklahoma",62421,68298,587
20580,"Eagle Pass, TX",48127,"Dimmit County, Texas",10822,68293,588
20580,"Eagle Pass, TX",48323,"Maverick County, Texas",57471,68293,588
42300,"Sault Ste. Marie, MI",26033,"Chippewa County, Michigan",38023,68119,589
42300,"Sault Ste. Marie, MI",26095,"Luce County, Michigan",6406,68119,589
42300,"Sault Ste. Marie, MI",26141,"Presque Isle County, Michigan",12854,68119,589
42300,"Sault Ste. Marie, MI",26097,"Mackinac County, Michigan",10836,68119,589
45620,"Thomasville, GA",13275,"Thomas County, Georgia",44909,67483,590
45620,"Thomasville, GA",13205,"Mitchell County, Georgia",22574,67483,590
